date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:36:20	66664/66664	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263373e79-10468%22	https://colorlib.com/etc/lf/Login_v14/vendor/select2/select2.min.js	D:/laragon/www/Asm-ph32799-hieunt/public/form-login/colorlib.com/etc/lf/Login_v14/vendor/select2/select2.min.js	(from https://colorlib.com/etc/lf/Login_v14/)
23:36:21	46645/46645	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263373e76-b635%22	https://colorlib.com/etc/lf/Login_v14/vendor/daterangepicker/moment.min.js	D:/laragon/www/Asm-ph32799-hieunt/public/form-login/colorlib.com/etc/lf/Login_v14/vendor/daterangepicker/moment.min.js	(from https://colorlib.com/etc/lf/Login_v14/)
23:36:21	41282/41282	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263373e75-11090%22	https://colorlib.com/etc/lf/Login_v14/vendor/daterangepicker/daterangepicker.js	D:/laragon/www/Asm-ph32799-hieunt/public/form-login/colorlib.com/etc/lf/Login_v14/vendor/daterangepicker/daterangepicker.js	(from https://colorlib.com/etc/lf/Login_v14/)
23:36:21	934/934	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263373e6c-53c%22	https://colorlib.com/etc/lf/Login_v14/vendor/countdowntime/countdowntime.js	D:/laragon/www/Asm-ph32799-hieunt/public/form-login/colorlib.com/etc/lf/Login_v14/vendor/countdowntime/countdowntime.js	(from https://colorlib.com/etc/lf/Login_v14/)
23:36:22	1236/1236	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263373e69-811%22	https://colorlib.com/etc/lf/Login_v14/js/main.js	D:/laragon/www/Asm-ph32799-hieunt/public/form-login/colorlib.com/etc/lf/Login_v14/js/main.js	(from https://colorlib.com/etc/lf/Login_v14/)
23:36:22	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263373e40-2876e%22	https://colorlib.com/etc/lf/Login_v14/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?v=4.7.0	D:/laragon/www/Asm-ph32799-hieunt/public/form-login/colorlib.com/etc/lf/Login_v14/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.eot	(from https://colorlib.com/etc/lf/Login_v14/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
23:36:23	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263373e40-2876e%22	https://colorlib.com/etc/lf/Login_v14/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?	D:/laragon/www/Asm-ph32799-hieunt/public/form-login/colorlib.com/etc/lf/Login_v14/fonts/font-awesome-4.7.0/fonts/fontawesome-webfontd41d.eot	(from https://colorlib.com/etc/lf/Login_v14/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
23:36:23	77160/77160	---M--	200	added ('OK')	application/font-woff2	etag:%2263373e41-12d68%22	https://colorlib.com/etc/lf/Login_v14/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0	D:/laragon/www/Asm-ph32799-hieunt/public/form-login/colorlib.com/etc/lf/Login_v14/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff2	(from https://colorlib.com/etc/lf/Login_v14/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
23:36:24	98024/98024	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2263373e41-17ee8%22	https://colorlib.com/etc/lf/Login_v14/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.woff?v=4.7.0	D:/laragon/www/Asm-ph32799-hieunt/public/form-login/colorlib.com/etc/lf/Login_v14/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff	(from https://colorlib.com/etc/lf/Login_v14/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
23:36:24	165548/165548	---MC-	200	added ('OK')	application/font-ttf	etag:W/%2263373e41-286ac%22	https://colorlib.com/etc/lf/Login_v14/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.ttf?v=4.7.0	D:/laragon/www/Asm-ph32799-hieunt/public/form-login/colorlib.com/etc/lf/Login_v14/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.ttf	(from https://colorlib.com/etc/lf/Login_v14/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
23:36:24	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263373e41-6c7db%22	https://colorlib.com/etc/lf/Login_v14/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.svg?v=4.7.0	D:/laragon/www/Asm-ph32799-hieunt/public/form-login/colorlib.com/etc/lf/Login_v14/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.svg	(from https://colorlib.com/etc/lf/Login_v14/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
23:36:26	178520/178520	---MC-	200	added ('OK')	application/font-ttf	etag:W/%2263373e62-2b958%22	https://colorlib.com/etc/lf/Login_v14/fonts/raleway/Raleway-Regular.ttf	D:/laragon/www/Asm-ph32799-hieunt/public/form-login/colorlib.com/etc/lf/Login_v14/fonts/raleway/Raleway-Regular.ttf	(from https://colorlib.com/etc/lf/Login_v14/css/main.css)
23:36:26	179444/179444	---MC-	200	added ('OK')	application/font-ttf	etag:W/%2263373e61-2bcf4%22	https://colorlib.com/etc/lf/Login_v14/fonts/raleway/Raleway-Medium.ttf	D:/laragon/www/Asm-ph32799-hieunt/public/form-login/colorlib.com/etc/lf/Login_v14/fonts/raleway/Raleway-Medium.ttf	(from https://colorlib.com/etc/lf/Login_v14/css/main.css)
23:36:26	180492/180492	---MC-	200	added ('OK')	application/font-ttf	etag:W/%2263373e63-2c10c%22	https://colorlib.com/etc/lf/Login_v14/fonts/raleway/Raleway-SemiBold.ttf	D:/laragon/www/Asm-ph32799-hieunt/public/form-login/colorlib.com/etc/lf/Login_v14/fonts/raleway/Raleway-SemiBold.ttf	(from https://colorlib.com/etc/lf/Login_v14/css/main.css)
23:36:26	179244/179244	---MC-	200	added ('OK')	application/font-ttf	etag:W/%2263373e5e-2bc2c%22	https://colorlib.com/etc/lf/Login_v14/fonts/raleway/Raleway-Bold.ttf	D:/laragon/www/Asm-ph32799-hieunt/public/form-login/colorlib.com/etc/lf/Login_v14/fonts/raleway/Raleway-Bold.ttf	(from https://colorlib.com/etc/lf/Login_v14/css/main.css)
